CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Segment
1,Male,19,15,39,1,Medium Spenders
2,Male,21,15,81,1,Medium Spenders
3,Female,20,16,6,0,Low Spenders
4,Female,23,16,77,1,Medium Spenders
5,Female,31,17,40,1,Medium Spenders
6,Female,22,17,76,1,Medium Spenders
7,Female,35,18,6,0,Low Spenders
8,Female,23,18,94,1,Medium Spenders
9,Male,64,19,3,0,Low Spenders
10,Female,30,19,72,1,Medium Spenders
11,Male,67,19,14,0,Low Spenders
12,Female,35,19,99,1,Medium Spenders
13,Female,58,20,15,0,Low Spenders
14,Female,24,20,77,1,Medium Spenders
15,Male,37,20,13,0,Low Spenders
16,Male,22,20,79,1,Medium Spenders
17,Female,35,21,35,0,Low Spenders
18,Male,20,21,66,1,Medium Spenders
19,Male,52,23,29,0,Low Spenders
20,Female,35,23,98,1,Medium Spenders
21,Male,35,24,35,0,Low Spenders
22,Male,25,24,73,1,Medium Spenders
23,Female,46,25,5,0,Low Spenders
24,Male,31,25,73,1,Medium Spenders
25,Female,54,28,14,0,Low Spenders
26,Male,29,28,82,1,Medium Spenders
27,Female,45,28,32,0,Low Spenders
28,Male,35,28,61,1,Medium Spenders
29,Female,40,29,31,0,Low Spenders
30,Female,23,29,87,1,Medium Spenders
31,Male,60,30,4,0,Low Spenders
32,Female,21,30,73,1,Medium Spenders
33,Male,53,33,4,0,Low Spenders
34,Male,18,33,92,1,Medium Spenders
35,Female,49,33,14,0,Low Spenders
36,Female,21,33,81,1,Medium Spenders
37,Female,42,34,17,0,Low Spenders
38,Female,30,34,73,1,Medium Spenders
39,Female,36,37,26,0,Low Spenders
40,Female,20,37,75,1,Medium Spenders
41,Female,65,38,35,4,Medium Spenders
42,Male,24,38,92,1,Medium Spenders
43,Male,48,39,36,0,Low Spenders
44,Female,31,39,61,1,Medium Spenders
45,Female,49,39,28,0,Low Spenders
46,Female,24,39,65,1,Medium Spenders
47,Female,50,40,55,4,Medium Spenders
48,Female,27,40,47,1,Medium Spenders
49,Female,29,40,42,1,Medium Spenders
50,Female,31,40,42,1,Medium Spenders
51,Female,49,42,52,4,Medium Spenders
52,Male,33,42,60,1,Medium Spenders
53,Female,31,43,54,1,Medium Spenders
54,Male,59,43,60,4,Medium Spenders
55,Female,50,43,45,4,Medium Spenders
56,Male,47,43,41,4,Medium Spenders
57,Female,51,44,50,4,Medium Spenders
58,Male,69,44,46,4,Medium Spenders
59,Female,27,46,51,1,Medium Spenders
60,Male,53,46,46,4,Medium Spenders
61,Male,70,46,56,4,Medium Spenders
62,Male,19,46,55,1,Medium Spenders
63,Female,67,47,52,4,Medium Spenders
64,Female,54,47,59,4,Medium Spenders
65,Male,63,48,51,4,Medium Spenders
66,Male,18,48,59,1,Medium Spenders
67,Female,43,48,50,4,Medium Spenders
68,Female,68,48,48,4,Medium Spenders
69,Male,19,48,59,1,Medium Spenders
70,Female,32,48,47,1,Medium Spenders
71,Male,70,49,55,4,Medium Spenders
72,Female,47,49,42,4,Medium Spenders
73,Female,60,50,49,4,Medium Spenders
74,Female,60,50,56,4,Medium Spenders
75,Male,59,54,47,4,Medium Spenders
76,Male,26,54,54,1,Medium Spenders
77,Female,45,54,53,4,Medium Spenders
78,Male,40,54,48,4,Medium Spenders
79,Female,23,54,52,1,Medium Spenders
80,Female,49,54,42,4,Medium Spenders
81,Male,57,54,51,4,Medium Spenders
82,Male,38,54,55,1,Medium Spenders
83,Male,67,54,41,4,Medium Spenders
84,Female,46,54,44,4,Medium Spenders
85,Female,21,54,57,1,Medium Spenders
86,Male,48,54,46,4,Medium Spenders
87,Female,55,57,58,4,Medium Spenders
88,Female,22,57,55,1,Medium Spenders
89,Female,34,58,60,1,Medium Spenders
90,Female,50,58,46,4,Medium Spenders
91,Female,68,59,55,4,Medium Spenders
92,Male,18,59,41,1,Medium Spenders
93,Male,48,60,49,4,Medium Spenders
94,Female,40,60,40,4,Medium Spenders
95,Female,32,60,42,1,Medium Spenders
96,Male,24,60,52,1,Medium Spenders
97,Female,47,60,47,4,Medium Spenders
98,Female,27,60,50,1,Medium Spenders
99,Male,48,61,42,4,Medium Spenders
100,Male,20,61,49,1,Medium Spenders
101,Female,23,62,41,1,Medium Spenders
102,Female,49,62,48,4,Medium Spenders
103,Male,67,62,59,4,Medium Spenders
104,Male,26,62,55,1,Medium Spenders
105,Male,49,62,56,4,Medium Spenders
106,Female,21,62,42,1,Medium Spenders
107,Female,66,63,50,4,Medium Spenders
108,Male,54,63,46,4,Medium Spenders
109,Male,68,63,43,4,Medium Spenders
110,Male,66,63,48,4,Medium Spenders
111,Male,65,63,52,4,Medium Spenders
112,Female,19,63,54,1,Medium Spenders
113,Female,38,64,42,3,Medium Spenders
114,Male,19,64,46,1,Medium Spenders
115,Female,18,65,48,1,Medium Spenders
116,Female,19,65,50,1,Medium Spenders
117,Female,63,65,43,4,Medium Spenders
118,Female,49,65,59,4,Medium Spenders
119,Female,51,67,43,4,Medium Spenders
120,Female,50,67,57,4,Medium Spenders
121,Male,27,67,56,1,Medium Spenders
122,Female,38,67,40,3,Medium Spenders
123,Female,40,69,58,2,High Spenders
124,Male,39,69,91,2,High Spenders
125,Female,23,70,29,3,Medium Spenders
126,Female,31,70,77,2,High Spenders
127,Male,43,71,35,3,Medium Spenders
128,Male,40,71,95,2,High Spenders
129,Male,59,71,11,3,Medium Spenders
130,Male,38,71,75,2,High Spenders
131,Male,47,71,9,3,Medium Spenders
132,Male,39,71,75,2,High Spenders
133,Female,25,72,34,3,Medium Spenders
134,Female,31,72,71,2,High Spenders
135,Male,20,73,5,3,Medium Spenders
136,Female,29,73,88,2,High Spenders
137,Female,44,73,7,3,Medium Spenders
138,Male,32,73,73,2,High Spenders
139,Male,19,74,10,3,Medium Spenders
140,Female,35,74,72,2,High Spenders
141,Female,57,75,5,3,Medium Spenders
142,Male,32,75,93,2,High Spenders
143,Female,28,76,40,3,Medium Spenders
144,Female,32,76,87,2,High Spenders
145,Male,25,77,12,3,Medium Spenders
146,Male,28,77,97,2,High Spenders
147,Male,48,77,36,3,Medium Spenders
148,Female,32,77,74,2,High Spenders
149,Female,34,78,22,3,Medium Spenders
150,Male,34,78,90,2,High Spenders
151,Male,43,78,17,3,Medium Spenders
152,Male,39,78,88,2,High Spenders
153,Female,44,78,20,3,Medium Spenders
154,Female,38,78,76,2,High Spenders
155,Female,47,78,16,3,Medium Spenders
156,Female,27,78,89,2,High Spenders
